最大何倍株	オーナー株%	売上成長率_平均	経常利益率_平均	想定時価総額	売買回転率
5.6	97.45	4.8	5.4	15339192000.0	18.182
7.3	15.44	13.8	24.6	5619240000.0	31.722
27.3	10.04	14.2	9.5	5502651000.0	142.457
7.3	33.58	32.5	7.8	1794000000.0	10.721
7.9	0.01	-33.5		64740600000.0	5.674
4.7	50.24	929.7	462.0	9284084400.0	7.605
4.3	94.67	89.4	11.8	6336000000.0	3.621
	55.33	15.2	4.2	3784000000.0	-0.0
5.7	68.8	82.0	5.0	1889125000.0	40.186
24.2	88.71000000000001	39.1	7.0	7063400000.0	5.681
4.5	24.47	10.3	8.4	3218620000.0	23.837
	64.41	17.0	1.0	561237000.0	-0.0
39.8	55.99	68.4	9.0	3192706000.0	53.61
13.1	88.05	27.6	6.6	5670000000.0	46.604
5.6	58.89	49.6	29.4	9817500000.0	2.234
9.1	79.77000000000001	10.8	6.3	6360705000.0	282.751
6.8	19.2	33.3	7.5	8399000000.0	8.092
3.7	82.84	26.5	7.7	3363228000.0	6.481
10.1	0.0	-30.4	11.1	1607286548000.0	1.766
2.8	1.65	-24.7		281402515000.0	0.335
17.9	78.99000000000001	2.9	9.0	5390550000.0	44.222
2.5	51.49	6.2	4.4	18952020000.0	4.258
15.7	51.44	28.2	16.1	2470960000.0	141.103
2.1	17.189999999999998	-24.5	136.0	27054272000.0	2.462
5.3	92.26	44.2	2.5	1792079900.0	8.442
11.3	96.43	29.3	1.9	1256640000.0	41.341
2.5	68.18	17.5	5.5	6842132000.0	3.347
6.2	80.99	14.8	7.8	3666840000.0	15.966
13.8	91.65	152.3	47.0	5359900000.0	284.954
	0.0	9.9	5.6	21501956250.0	-0.0
	90.54999999999998	158.4	21.2	9024400000.0	-0.0
5.2	78.00999999999999	31.9	3.0	4105927000.0	33.663
1.9	25.86	81.3	6.3	24330020000.0	4.326
6.2	62.73	71.5	6.0	2053080000.0	17.268
13.3	65.47	99.5	45.8	5987360000.0	54.812
1.5	80.53000000000002	6.5	9.8	1190307000.0	0.099
5.6	2.85	-9.6	9.7	11625600000.0	3.27
4.3	59.56	478.1	13.1	11495258600.0	7.295
5.5	91.17000000000002	25.1	4.5	12670200000.0	6.478
	70.0	0.2	14.9	21145080000.0	-0.0
4.9	72.13	30.1	6.1	1590500000.0	2.817
2.5	61.95	-7.2	3.0	1809600000.0	1.926
2.5	0.0	-9.8	6.0	786887086000.0	0.274
9.2	53.6	-21.1	16.9	4113800000.0	397.537
4.0	3.26	-26.5	6.5	69677388000.0	2.615
21.3	43.47	-7.7	6.4	11714272400.0	3.916
6.1	13.48	-12.2	7.0	13210500000.0	4.895
9.7	67.76	10.1	17.7	2056900000.0	458.932
2.1	69.52999999999999	8.2	7.4	5035270000.0	51.575
5.1	49.31	57.3	330.2	29304180000.0	116.29
4.1	21.79	81.8	16.0	18926880000.0	0.764
2.0	21.77	9.7	3.4	3291175000.0	2.693
2.6	0.35	150.4	4.7	661526690000.0	1.183
5.2	98.28	-9.4	1.6	110416905000.0	0.369
6.4	0.0	-0.5	5.2	26236445000.0	2.771
5.5	36.28	24.7	8.3	2109250000.0	21.212
1.9	90.58	25.3	11.1	14411906880.0	1.602
8.1	42.0	10.5	3.5	3213991000.0	53.84
	44.0	21.5	11.4	58776232350.0	-0.0
	66.10000000000001	24.6	10.5	3388000000.0	-0.0
1.9	99.33	10.5	5.1	6357340000.0	0.466
23.1	93.95	13.9	5.0	8041362500.0	2.255
4.7	44.77	45.7	6.6	3962730000.0	8.796
6.8	86.22	29.4	8.5	6162750000.0	7.276
	94.76	13.6	7.4	2257600000.0	-0.0
8.0	39.99	71.6	10.5	5382552000.0	24.086
10.4	47.27	14.0	4.0	15549000000.0	10.646
7.8	20.29	46.0	14.0	2639580000.0	15.674
2.8	54.040000000000006	10.1	14.6	35652960000.0	1.248
	89.07	5.5	3.8	414200000.0	-0.0
13.0	49.35	-3.2	6.7	2285850000.0	8.952
5.6	64.64	9.9	12.1	19673000000.0	14.233
3.1	3.29			58831950000.0	1.006
10.6	89.57	52.2	37.3	6121500000.0	14.518
7.8	35.83	6.0	6.0	3302865000.0	17.583
67.5	62.88	20.5	15.3	12167280000.0	12.955
26.1	82.78	29.6	9.2	1775600000.0	83.222
9.9	72.38000000000001	55.7	5.8	12494272000.0	69.508
1.9					
9.2	79.11	7.3	12.1	3016230000.0	63.233
3.1	51.14	-25.1		125736988000.0	0.656
10.7	47.63999999999999	15.7	12.4	1433061000.0	39.348
4.8	23.78	29.5	15.8	2596520000.0	34.912
2.0	0.0			6075000000000.0	0.233
2.1	83.32			6300000000000.0	0.164
2.2	100.0			1290000000000.0	0.361
3.1	40.19	25.8	3.2	4875075000.0	1.558
3.3	61.65	29.4	2.6	3698080000.0	6.233
3.7	79.89	9.7	7.4	5120618860.0	5.568
8.5	0.0	75.8	28.9	19402697000.0	6.338
6.3	54.83	120.1	10.9	7749720000.0	16.392
28.0	72.2	14.2	9.3	6036800000.0	10.22
	47.55	48.0	2.5	6839720000.0	-0.0
